TOP,MID,JUNGLE,ADC, SUPPORT
Ezreal,Ahri,Pantheon,Thresh,Ashe
Wukong,Brand,Shaco,Ashe,Sivir
Fiora,Heimerdinger,Lee Sin,Graves,Leona
Jayce,Nidalee,Wukong,Graves,Blitzcrank
Riven,Kayle,Udyr,Morgana,Sivir
Sion,Talon,Jarvan IV,Sona,Ashe
Nidalee,Yasuo,Wukong,Vayne,Leona
Syndra,Cho'Gath,Xin Zhao,Draven,Blitzcrank
Kha'Zix,Ziggs,Fiddlesticks,Draven,Thresh
Zac,Brand,Hecarim,Jynx,Leona
Wukong,Xerath,Pantheon,Caitlyn,Janna
Fiora,LeBlanc,Udyr,Graves,Blitzcrank
Kayle,Annie,Renga,Caitlyn,Thresh
Gnar,Zed,Vi,Vayne,Zilean
Nasus,Ryze,Kha'Zix,Kalista,Janna
Heimerdinger,Yasuo,Jax,Lux,Jynx
Darius,LeBlanc,Warwick,Quinn,Zilean
Riven,Xerath,Nautilus,Lucian,Janna
Irelia,Corki,Fiddlesticks,Graves,Thresh
Shyvana,Yasuo,Lee Sin,Vayne,Morgana
Malphite,Syndra,Jarvan IV,Varus,Leona
Fiora,Brand,Vi,Tristana,Sona
Vladimir,Annie,Fiddlesticks,Caitlyn,Leona
Zed,Yasuo,Xin Zhao,Jynx,Lulu
Zac,Talon,Rek'Sai,Graves,Janna
Shen,Syndra,Shaco,Varus,Sona
Cho'Gath,LeBlanc,Rek'Sai,Ashe,Braum
Darius,Orianna,Warwick,Malphite,Jynx
Zed,Viktor,Olaf,Quinn,Soraka
Darius,Morgana,Fiora,Jynx,Malphite
Gangplank,Malzahar,Fiddlesticks,Sivir,Thresh
Renga,Katarina,Pantheon,Twitch,Janna
Warwick,Kassadin,Shen,Lucian,Nidalee
Shyvana,Xerath,Amumu,Sivir,Soraka
Hecarim,Xerath,Lee Sin,Annie,Zyra
Lissandra,LeBlanc,Warwick,Graves,Blitzcrank
Wukong,LeBlanc,Master Yi,Jynx,Leona
Trundle,Lissandra,Udyr,Ezreal,Morgana
Irelia,Jayce,Vi,Miss Fortune,Thresh
Nasus,Brand,Jarvan IV,Ashe,Morgana
Taric,Rumble,Volibear,Jynx,Leona
Dr. Mundo,Zed,Lee Sin,Tristana,Morgana
Teemo,Karthus,Wukong,Graves,Thresh
Gnar,Katarina,Xin Zhao,Lucian,Morgana
Vi,Fizz,Yorick,Jynx,Thresh
Olaf,Malzahar,Xin Zhao,Corki,Zilean
Pantheon,Yasuo,Malphite,Caitlyn,Cho'Gath
Sion,Annie,Rek'Sai,Jynx,Nami
Pantheon,Heimerdinger,Xin Zhao,Ezreal,Thresh
Darius,Brand,Fiddlesticks,Sivir,Leona
Tryndamere,Annie,Jax,Ashe,Janna
Nasus,Malzahar,Lee Sin,Tristana,Blitzcrank
Garen,Yasuo,Tryndamere,Ezreal,Blitzcrank
Kayle,Nidalee,Vi,Caitlyn,Leona
Riven,Azir,Vi,Caitlyn,Soraka
Jarvan IV,Ziggs,Vi,Ezreal,Morgana
Irelia,Mordekaiser,Cho'Gath,Ezreal,Thresh
Nasus,Malzahar,Xin Zhao,Graves,Thresh
Jax,Nidalee,Master Yi,Jynx,Xerath
Garen,Zed,Jarvan IV,Caitlyn,Blitzcrank
Fiora,Ahri,Pantheon,Lucian,Zyra
Irelia,Syndra,Riven,Corki,Thresh
Trundle,Azir,Kha'Zix,Lucian,Brand
Jarvan IV,Nidalee,Udyr,Tristana,Janna
Hecarim,Master Yi,Lee Sin,Corki,Nami
Jayce,Brand,Jarvan IV,Graves,Sona
Rumble,Jayce,Jarvan IV,Caitlyn,Janna
Swain,Yasuo,Lee Sin,Ezreal,Alistar
Gnar,Akali,Rek'Sai,Vayne,Lux
Fiora,Swain,Nocturne,Kalista,Thresh
Cho'Gath,Zed,Xin Zhao,Graves,Taric
Teemo,Swain,Amumu,Caitlyn,Nami
Singed,Ahri,Rammus,Vayne,Thresh
Jax,Zilean,Master Yi,Miss Fortune,Zyra
Lissandra,LeBlanc,Jarvan IV,Lucian,Gangplank
Irelia,Orianna,Fiddlesticks,Graves,Leona
Darius,Talon,Xin Zhao,Graves,Morgana
Garen,Ahri,Jarvan IV,Corki,Nami
Pantheon,Yasuo,Lee Sin,Ashe,Janna
Wukong,Talon,Jarvan IV,Varus,Blitzcrank
Tryndamere,Malzahar,Master Yi,Jynx,Leona
Nasus,Cassiopeia,Jax,Corki,Morgana
Annie,Swain,Fiddlesticks,Ezreal,Morgana
Lissandra,LeBlanc,Lee Sin,Draven,Lulu
Fiora,Katarina,Vi,Draven,Leona
Veigar,Riven,Sejuani,Tristana,Blitzcrank
Riven,Ashe,Rek'Sai,Caitlyn,Volibear
Riven,Syndra,Evelynn,Ashe,Taric
Irelia,Kassadin,Twitch,Tristana,Blitzcrank
Nasus,Talon,Warwick,Vayne,Thresh
Diana,Fizz,Shaco,Jynx,Blitzcrank
Pantheon,Lissandra,Vi,Tristana,Alistar
Vayne,Akali,Udyr,Jynx,Thresh
Tryndamere,Zed,Lee Sin,Corki,Morgana
Riven,Lissandra,Pantheon,Caitlyn,Leona
Jarvan IV,Cassiopeia,Evelynn,Vayne,Nami
Riven,Kha'Zix,Nautilus,Graves,Leona
Swain,Talon,Rek'Sai,Twitch,Alistar
Singed,Ziggs,Shyvana,Kalista,Leona
Malphite,Ahri,Jarvan IV,Tristana,Thresh
Jarvan IV,LeBlanc,Vi,Jynx,Lux
Yasuo,Fizz,Warwick,Graves,Morgana
Volibear,LeBlanc,Udyr,Twitch,Janna
Shaco,Ezreal,Vi,Varus,Nami
Heimerdinger,Pantheon,Warwick,Draven,Blitzcrank
Udyr,Katarina,Wukong,LeBlanc,Sona
Volibear,Lux,Master Yi,Caitlyn,Leona
Urgot,Gragas,Lee Sin,Varus,Leona
Darius,Ahri,Jarvan IV,Ezreal,Morgana
Dr. Mundo,Vel'Koz,Sejuani,Jynx,Blitzcrank
Teemo,Syndra,Pantheon,Ezreal,Sona
Wukong,Xerath,Pantheon,Jynx,Braum
Quinn,Lucian,Kayle,Caitlyn,Thresh
Singed,Anivia,Lee Sin,Lucian,Thresh
Wukong,Heimerdinger,Shyvana,Caitlyn,Fiddlesticks
Cho'Gath,Diana,Riven,Ezreal,Leona
Vayne,LeBlanc,Warwick,Sivir,Morgana
Gangplank,Brand,Shaco,Miss Fortune,Morgana
Riven,Talon,Jarvan IV,Jynx,Janna
Nasus,Zed,Tryndamere,Draven,Leona
Riven,Orianna,Nunu,Jynx,Morgana
Pantheon,Ziggs,Shaco,Corki,Zyra
Garen,Zed,Elise,Nidalee,Ezreal
Wukong,Annie,Jarvan IV,Graves,Kayle
Riven,Annie,Lee Sin,Vayne,Zilean
Darius,Cho'Gath,Kha'Zix,Caitlyn,Morgana
Jayce,Annie,Vi,Vayne,Morgana
Renga,Ziggs,Shyvana,Lucian,Janna
Olaf,Yasuo,Wukong,Caitlyn,Sona
Teemo,Malzahar,Vi,Caitlyn,Leona
Riven,Vel'Koz,Sejuani,Twitch,Braum
Yasuo,Nidalee,Warwick,Graves,Lux
Zed,Twisted Fate,Jax,Ezreal,Lux
Pantheon,Azir,Olaf,Corki,Sona
Tryndamere,LeBlanc,Vi,Lucian,Morgana
Dr. Mundo,Katarina,Jarvan IV,Tristana,Thresh
Udyr,Kassadin,Lee Sin,Vayne,Sona
Swain,Jayce,Renga,Kalista,Lulu
Galio,Anivia,Rek'Sai,Quinn,Leona
Kayle,Evelynn,Nocturne,Vayne,Leona
Nasus,Zyra,Pantheon,Lucian,Sona
Irelia,Ahri,Master Yi,Graves,Leona
Ryze,Annie,Rek'Sai,Corki,Thresh
Cho'Gath,Zed,Vi,Sivir,Sion
Fiora,Xerath,Hecarim,Caitlyn,Syndra
Jayce,Fizz,Diana,Jynx,Jax
Fiora,Heimerdinger,Renga,Lucian,Leona
Irelia,Yasuo,Jarvan IV,Jynx,Janna
LeBlanc,Riven,Nautilus,Vayne,Soraka
Teemo,Ahri,Lee Sin,Tristana,Morgana
Riven,Lux,Warwick,Ashe,Volibear
Vladimir,Heimerdinger,Jarvan IV,Ashe,Nami
Jayce,Katarina,Nunu,Caitlyn,Thresh
Nasus,Cassiopeia,Udyr,Tristana,Annie
Fiora,Ahri,Rek'Sai,Caitlyn,Thresh
Rumble,Syndra,Master Yi,Ezreal,Lulu
Pantheon,Lissandra,Amumu,Jynx,Blitzcrank
Riven,Karma,Elise,Sivir,Thresh
Gnar,Lux,Xin Zhao,Malphite,Ezreal
Garen,Vel'Koz,Olaf,Jynx,Nami
Rek'Sai,Brand,Warwick,Lucian,Lux
Fiora,Lux,Udyr,Graves,Morgana
Aatrox,Cassiopeia,Fiddlesticks,Gnar,Thresh
Tryndamere,Orianna,Wukong,Jynx,Nami
Nasus,Brand,Jarvan IV,Draven,Thresh
Cho'Gath,Graves,Fiddlesticks,Caitlyn,Morgana
Nasus,Nidalee,Nunu,Kalista,Nami
Irelia,Xerath,Wukong,Caitlyn,Taric
Garen,Karma,Udyr,Sivir,Braum
Singed,Karthus,Lee Sin,Ashe,Leona
Irelia,Yasuo,Rek'Sai,Karma,Sivir
Alistar,Vel'Koz,Jarvan IV,Ashe,Leona
Teemo,Yasuo,Shaco,Lucian,Thresh
Rumble,Orianna,Riven,Graves,Lulu
Garen,Ahri,Vi,Jynx,Thresh
Garen,Lux,Renga,Ashe,Braum
Irelia,Brand,Fiora,Jynx,Blitzcrank
Maokai,Ezreal,Olaf,Lucian,Nami
Shen,Syndra,Diana,Kalista,Leona
Lee Sin,Ahri,Hecarim,Ashe,Taric
Nasus,Orianna,Shaco,Kalista,Janna
Riven,Heimerdinger,Xin Zhao,Ashe,Blitzcrank
Irelia,Ahri,Lee Sin,Morgana,Graves
Darius,Ahri,Shaco,Graves,Thresh
Renekton,Diana,Amumu,Ezreal,Nami
Renekton,Zed,Udyr,Tristana,Vel'Koz
Singed,Fizz,Hecarim,Jynx,Blitzcrank
Jarvan IV,LeBlanc,Lee Sin,Lucian,Thresh
Teemo,Ashe,Rek'Sai,Vayne,Morgana
Riven,Vladimir,Amumu,Twitch,Soraka
Warwick,Malzahar,Sejuani,Varus,Braum
Shyvana,Yasuo,Rek'Sai,Graves,Thresh
Darius,Yasuo,Vi,Sivir,Alistar
Riven,Master Yi,Rek'Sai,Ezreal,Annie
Maokai,Zilean,Shaco,Kalista,Thresh
Jayce,Veigar,Wukong,Draven,Malphite
Xin Zhao,Diana,Jarvan IV,Graves,Thresh
Irelia,Lux,Wukong,Caitlyn,Karma
Swain,Nidalee,Jax,Graves,Leona
Ryze,Fizz,Lee Sin,Kalista,Thresh
Nasus,Zed,Rek'Sai,Graves,Leona
Lissandra,Ryze,Vi,Sivir,Leona
Malphite,Cassiopeia,Shaco,Corki,Sona
Renga,Malzahar,Jax,Vayne,Braum
Vladimir,Ahri,Master Yi,Caitlyn,Blitzcrank
Vladimir,LeBlanc,Riven,Lucian,Janna
Jax,Brand,Sejuani,Ashe,Leona
Teemo,Gragas,Fiddlesticks,Vayne,Thresh
Gnar,Blitzcrank,Warwick,Vayne,Lulu
Pantheon,Brand,Nautilus,Ezreal,Thresh
Pantheon,Lux,Hecarim,Graves,Blitzcrank
Yasuo,Ahri,Rek'Sai,Draven,Blitzcrank
Nasus,Lux,Master Yi,Graves,Thresh
Riven,Lux,Jax,Lucian,Thresh
Diana,Syndra,Tryndamere,Caitlyn,Sona
Tryndamere,Ahri,Jarvan IV,Ezreal,Janna
Jax,Yasuo,Vi,Graves,Xerath
Jax,LeBlanc,Shaco,Ezreal,Lux
Dr. Mundo,Zed,Lee Sin,Vayne,Thresh
Irelia,Mordekaiser,Lee Sin,Kalista,Annie
Nasus,Talon,Xin Zhao,Vayne,Brand
Renekton,Mordekaiser,Nocturne,Ashe,Janna
Riven,Malzahar,Warwick,Corki,Leona
Zac,LeBlanc,Fiddlesticks,Lucian,Lulu
Tryndamere,Syndra,Lee Sin,Varus,Annie
Fizz,Mordekaiser,Rek'Sai,Vayne,Blitzcrank
Riven,Veigar,Nocturne,Vayne,Sona
Nasus,Zed,Master Yi,Kalista,Blitzcrank
Anivia,Yasuo,Jarvan IV,Jynx,Annie
Malzahar,Ahri,Lee Sin,Corki,Blitzcrank
Gangplank,Zed,Amumu,Kalista,Leona
Cho'Gath,Malzahar,Xin Zhao,Caitlyn,Ryze
Jayce,Lux,Warwick,Vayne,Thresh
Nasus,LeBlanc,Rek'Sai,Graves,Annie
Irelia,Syndra,Xin Zhao,Kog'Maw,Thresh
Shen,Malzahar,Master Yi,Kalista,Azir
Wukong,Talon,Warwick,Jynx,Nami
Nasus,Fizz,Renga,Blitzcrank,Twitch
Darius,Cassiopeia,Tryndamere,Sivir,Braum
Quinn,Malzahar,Rek'Sai,Lucian,Janna
Gnar,Zed,Rek'Sai,Graves,Nami
Lissandra,Syndra,Pantheon,Corki,Morgana
Teemo,Veigar,Volibear,Graves,Janna
Darius,Azir,Lee Sin,Vayne,Lux
Akali,Heimerdinger,Pantheon,Vayne,Alistar
Renekton,Brand,Jarvan IV,Caitlyn,Thresh
Irelia,Swain,Hecarim,Jynx,Blitzcrank
Pantheon,Twisted Fate,Xin Zhao,Caitlyn,Braum
Garen,Heimerdinger,Lee Sin,Miss Fortune,Annie
Heimerdinger,Ahri,Rammus,Caitlyn,Thresh
Ashe,Xerath,Sion,Caitlyn,Lulu
Jax,Lux,Vi,Tristana,Sona
Rumble,Vel'Koz,Pantheon,Jynx,Sona
Darius,Lissandra,Pantheon,Ashe,Lux
Jayce,Katarina,Lee Sin,Tristana,Leona
Fiora,Veigar,Rek'Sai,Jynx,Morgana
Nasus,Katarina,Trundle,Corki,Morgana
Vayne,Malzahar,Shaco,Caitlyn,Alistar
Sion,Twisted Fate,Nautilus,Jynx,Thresh
Lulu,Malzahar,Kha'Zix,Jynx,Janna
Nasus,Ahri,Udyr,Graves,Sona
Fiora,Veigar,Sejuani,Morgana,Jynx
Maokai,Zed,Vi,Tristana,Nami
Ashe,Katarina,Master Yi,Zed,Xerath
Irelia,Nidalee,Pantheon,Ezreal,Soraka
Jarvan IV,Morgana,Maokai,Miss Fortune,Thresh
Nasus,Ahri,Lee Sin,Gnar,Sona
Yasuo,LeBlanc,Master Yi,Lucian,Leona
Gnar,Gragas,Udyr,Caitlyn,Brand
Lux,Heimerdinger,Vi,Zyra,Twitch
Vladimir,Jayce,Darius,Varus,Vel'Koz
Annie,Fizz,Sion,Graves,Leona
Gangplank,Talon,Lee Sin,Caitlyn,Soraka
Nidalee,Katarina,Lee Sin,Jynx,Sona
Riven,Azir,Jarvan IV,Sivir,Morgana
Fiora,Lissandra,Jarvan IV,Draven,Blitzcrank
Jax,Katarina,Vi,Kalista,Thresh
Zed,Ahri,Master Yi,Morgana,Tristana
Gangplank,Heimerdinger,Jarvan IV,Caitlyn,Thresh
Ryze,Akali,Renga,Sivir,Zilean
Gnar,Nidalee,Vi,Miss Fortune,Lux
Ashe,Katarina,Warwick,Lucian,Morgana
Fiora,Xerath,Tryndamere,Caitlyn,Soraka
Riven,Heimerdinger,Warwick,Corki,Thresh
Renekton,Malzahar,Vi,Caitlyn,Braum
Nasus,Twisted Fate,Udyr,Jynx,Blitzcrank
Wukong,Nidalee,Warwick,Vayne,Karma
Jarvan IV,Veigar,Pantheon,Caitlyn,Leona
Riven,Orianna,Kha'Zix,Ezreal,Blitzcrank
Tryndamere,Fizz,Master Yi,Varus,Annie
Nasus,Kassadin,Vi,Miss Fortune,Lux
Tryndamere,Katarina,Jarvan IV,Corki,Janna
Pantheon,Karthus,Jarvan IV,Varus,Sona
Nasus,Janna,Master Yi,Caitlyn,Annie
Irelia,Vel'Koz,Hecarim,Jynx,Morgana
Gnar,Talon,Lee Sin,Ezreal,Blitzcrank
Heimerdinger,Ziggs,Vi,Twitch,Fiddlesticks
Kassadin,LeBlanc,Jarvan IV,Graves,Thresh
Jarvan IV,Orianna,Vi,Graves,Thresh
Irelia,Annie,Lee Sin,Caitlyn,Janna
Cho'Gath,Zed,Warwick,Miss Fortune,Lulu
Riven,Syndra,Master Yi,Tristana,Nami
Teemo,Mordekaiser,Master Yi,Thresh,Miss Fortune
Pantheon,Swain,Dr. Mundo,Kalista,Soraka
Shen,Ahri,Lee Sin,Caitlyn,Morgana
Shen,Ahri,Jarvan IV,Draven,Thresh
Darius,Yasuo,Sion,Caitlyn,Sona
Rek'Sai,LeBlanc,Warwick,Graves,Janna
Volibear,Fizz,Xin Zhao,Jynx,Thresh
Kayle,Akali,Lee Sin,Caitlyn,Zyra
Garen,Annie,Nidalee,Vayne,Janna
Wukong,Katarina,Vi,Lux,Twitch
Riven,Nidalee,Vi,Quinn,Sona
Jarvan IV,Syndra,Nunu,Jynx,Malphite
Lee Sin,Lux,Sejuani,Graves,Janna
Nasus,Yasuo,Lee Sin,Draven,Janna
Teemo,Nidalee,Volibear,Leona,Caitlyn
Jax,Akali,Elise,Ezreal,Leona
Akali,Jarvan IV,Shyvana,Tristana,Leona
Gangplank,Nidalee,Jarvan IV,Caitlyn,Leona
Malphite,Nidalee,Jarvan IV,Vayne,Janna
Gnar,Syndra,Warwick,Graves,Blitzcrank
Malphite,Twisted Fate,Pantheon,Ezreal,Janna
Nasus,Fizz,Lee Sin,Miss Fortune,Thresh
Riven,Orianna,Elise,Ezreal,Thresh
Yasuo,Ryze,Malphite,Kalista,Leona
Zac,Kalista,Warwick,Ezreal,Morgana
Sion,Malzahar,Warwick,Blitzcrank,Caitlyn
Swain,Ziggs,Shyvana,Kalista,Sona
Cassiopeia,Katarina,Vi,Graves,Leona
Nasus,Cassiopeia,Rek'Sai,Miss Fortune,Sona
Jax,Katarina,Alistar,Graves,Nami
Shen,Ezreal,Amumu,Tristana,Pantheon
Volibear,Shaco,Skarner,Sivir,Nidalee
Gnar,Katarina,Pantheon,Vayne,Taric
Galio,LeBlanc,Master Yi,Caitlyn,Thresh
Pantheon,Malzahar,Vi,Sivir,Janna
Riven,Zed,Fiddlesticks,Jynx,Soraka
Riven,Zed,Master Yi,Draven,Morgana
Tryndamere,Diana,Fiddlesticks,Tristana,Thresh
Darius,Lux,Karma,Jynx,Morgana
Jax,Heimerdinger,Kha'Zix,Caitlyn,Sona
Maokai,Veigar,Vi,Kalista,Annie
Thresh,LeBlanc,Evelynn,Jynx,Zyra
Xin Zhao,Brand,Zac,Graves,Sona
Pantheon,Zed,Hecarim,Vayne,Leona
Teemo,Fizz,Warwick,Caitlyn,Thresh
Fiora,Talon,Rek'Sai,Sivir,Volibear
Darius,Zilean,Jarvan IV,Corki,Janna
Akali,Talon,Vi,Caitlyn,Braum
Nasus,Kassadin,Gnar,Lucian,Braum
Riven,Katarina,Lee Sin,Caitlyn,Lulu
Mordekaiser,Heimerdinger,Diana,Caitlyn,Leona
Lissandra,Katarina,Lee Sin,Jynx,Thresh
Gnar,LeBlanc,Vi,Graves,Annie
Talon,Lux,Udyr,Varus,Blitzcrank
Darius,Xin Zhao,Nunu,Jynx,Janna
Maokai,Malzahar,Skarner,Ezreal,Morgana
Nasus,Katarina,Pantheon,Jynx,Morgana
Darius,Zed,Warwick,Jynx,Volibear
Shen,Yasuo,Sejuani,Caitlyn,Braum
Riven,Viktor,Xin Zhao,Graves,Morgana
Nasus,LeBlanc,Sejuani,Miss Fortune,Sona
Tryndamere,Lissandra,Warwick,Graves,Leona
Pantheon,Katarina,Lee Sin,Vayne,Teemo
Irelia,Brand,Master Yi,Vayne,Zilean
Darius,Zed,Rek'Sai,Tristana,Ahri
Nasus,LeBlanc,Poppy,Caitlyn,Annie
Elise,Ryze,Nunu,Sivir,Zilean
Tryndamere,Malphite,Master Yi,Caitlyn,Morgana
Renga,Heimerdinger,Volibear,Miss Fortune,Singed
Renekton,Ahri,Lee Sin,Vayne,Nami
Yorick,Mordekaiser,Nocturne,Ezreal,Leona
Master Yi,Annie,Hecarim,Lucian,Thresh
Nasus,Fizz,Warwick,Miss Fortune,Zilean
Pantheon,Zed,Renga,Lucian,Thresh
Darius,Lissandra,Jax,Tristana,Leona
Cassiopeia,Nidalee,Jarvan IV,Graves,Leona
Pantheon,Fizz,Kha'Zix,Ezreal,Nami
Xin Zhao,Lux,Jarvan IV,Graves,Blitzcrank
Mordekaiser,Lissandra,Vi,Varus,Nami
Jax,LeBlanc,Rammus,Sivir,Janna
Gnar,Akali,Master Yi,Corki,Thresh
Lucian,Kassadin,Lee Sin,Alistar,Caitlyn
Olaf,Ahri,Warwick,Quinn,Taric
Nasus,Viktor,Xin Zhao,Tristana,Thresh
Gnar,Orianna,Shaco,Caitlyn,Blitzcrank
Garen,Xerath,Poppy,Ezreal,Thresh
Sion,Malzahar,Jarvan IV,Caitlyn,Braum
Veigar,Wukong,Pantheon,Draven,Braum
Trundle,Orianna,Renekton,Vayne,Thresh
Yasuo,Karma,Lee Sin,Lucian,Braum
Renga,Veigar,Malphite,Corki,Thresh
Darius,Xerath,Teemo,Jynx,Leona
Jarvan IV,Katarina,Vi,Vayne,Thresh
Cho'Gath,Zed,Singed,Tristana,Nami
Fiora,Syndra,Sion,Lucian,Blitzcrank
Mordekaiser,Nidalee,Warwick,Corki,Thresh
Wukong,Anivia,Renga,Ezreal,Taric
Jax,LeBlanc,Lee Sin,Kalista,Janna
Wukong,Heimerdinger,Renga,Vayne,Braum
Nasus,Ahri,Teemo,Caitlyn,Blitzcrank
Ryze,Ahri,Vi,Jynx,Morgana
Malphite,LeBlanc,Olaf,Lucian,Thresh
Malphite,Ahri,Lee Sin,Graves,Sona
Twisted Fate,Pantheon,Warwick,Vayne,Nami
Yorick,Zed,Gragas,Shen,Miss Fortune
Xin Zhao,Xerath,Warwick,Vayne,Zilean
Shen,Katarina,Udyr,Jynx,Leona
Zed,Brand,Pantheon,Jynx,Leona
Irelia,Zed,Elise,Jynx,Morgana
Riven,Diana,Lee Sin,Graves,Lulu
Nasus,Cassiopeia,Hecarim,Lucian,Braum
Riven,Brand,Xin Zhao,Kalista,Thresh
Fiora,Anivia,Tryndamere,Draven,Leona
Fiora,LeBlanc,Lee Sin,Tristana,Taric
Yasuo,Fizz,Nocturne,Ezreal,Leona
Sion,LeBlanc,Wukong,Vayne,Nami
Cho'Gath,Annie,Vi,Lucian,Leona
Fiora,LeBlanc,Renga,Miss Fortune,Morgana
Nasus,Akali,Volibear,Kalista,Thresh
Nasus,Yasuo,Cho'Gath,Graves,Sona
Teemo,Ahri,Nunu,Quinn,Braum
Jax,Lux,Jarvan IV,Caitlyn,Morgana
Vladimir,Ahri,Nasus,Graves,Thresh
Renga,Lissandra,Lee Sin,Ashe,Leona
Teemo,LeBlanc,Lee Sin,Ashe,Thresh
Riven,Orianna,Jarvan IV,Graves,Sona
Nasus,LeBlanc,Master Yi,Graves,Thresh
Akali,Ziggs,Amumu,Jynx,Blitzcrank
Lee Sin,Cassiopeia,Rammus,Tristana,Soraka
Irelia,Lissandra,Pantheon,Graves,Janna
Singed,Ezreal,Jarvan IV,Caitlyn,Braum
Rek'Sai,Ahri,Skarner,Jynx,Zilean
Irelia,Lux,Wukong,Caitlyn,Thresh
Nasus,Zilean,Vi,Morgana,Vayne
Nidalee,Orianna,Nunu,Corki,Thresh
Jax,Talon,Pantheon,Graves,Nami
Jax,Annie,Xin Zhao,Ezreal,Sona
Singed,Vladimir,Xin Zhao,Caitlyn,Thresh
Rumble,Heimerdinger,Jarvan IV,Varus,Blitzcrank
Gangplank,Akali,Renga,Shaco,Graves
Yorick,Caitlyn,Maokai,Jynx,Blitzcrank
Ryze,Annie,Lulu,Vayne,Braum
Cho'Gath,Orianna,Vi,Varus,Sion
Jayce,Lissandra,Wukong,Jynx,Thresh
Darius,Cassiopeia,Rammus,Caitlyn,Nami
Ryze,Orianna,Trundle,Caitlyn,Morgana
Kassadin,Twisted Fate,Lee Sin,Graves,Dr. Mundo
Gangplank,Annie,Renga,Jynx,Blitzcrank
Darius,Xerath,Vi,Corki,Nami
Riven,Xerath,Warwick,Tristana,Alistar
Rumble,Lux,Vi,Graves,Leona
Garen,Ahri,Xin Zhao,Vayne,Sona
Wukong,Diana,Fiora,Ashe,Thresh
Riven,Syndra,Udyr,Caitlyn,Janna
Pantheon,Heimerdinger,Master Yi,Ashe,Blitzcrank
Irelia,Akali,Jarvan IV,Rek'Sai,Caitlyn
Dr. Mundo,Fizz,Vi,Morgana,Jynx
Nasus,Zed,Fiddlesticks,Lucian,Teemo
Jarvan IV,Mordekaiser,Shyvana,Jynx,Soraka
Yasuo,Diana,Warwick,Draven,Leona
Garen,Heimerdinger,Master Yi,Ashe,Lulu
Aatrox,Teemo,Kha'Zix,Varus,Soraka
Fiora,Orianna,Amumu,Twitch,Janna
Gnar,Xerath,Xin Zhao,Ezreal,Brand
Kayle,Lux,Rammus,Miss Fortune,Blitzcrank
Olaf,Fizz,Wukong,Jynx,Karma
Volibear,Ryze,Udyr,Tristana,Leona
Jarvan IV,Tryndamere,Malphite,Karma,Vayne
Riven,Malzahar,Amumu,Ezreal,Nidalee
Gangplank,Morgana,Elise,Tristana,Janna
Renekton,Zed,Nunu,Lucian,Nami
Darius,Lulu,Sejuani,Sivir,Thresh
Ahri,Zed,Udyr,Graves,Lux
Gnar,Vladimir,Cho'Gath,Jynx,Thresh
Maokai,Azir,Fiddlesticks,Ashe,Thresh
Dr. Mundo,Zed,Rek'Sai,Caitlyn,Blitzcrank
Fiora,Cho'Gath,Xin Zhao,Caitlyn,Nami
Ryze,Sona,Sejuani,Lucian,Annie
Lissandra,Zed,Wukong,Miss Fortune,Braum
Riven,LeBlanc,Renga,Draven,Leona
Irelia,Orianna,Vi,Ezreal,Thresh
Pantheon,Kassadin,Jarvan IV,Kalista,Morgana
Kayle,Wukong,Tryndamere,Sivir,Blitzcrank
Jax,Vladimir,Jarvan IV,Ezreal,Janna
Vladimir,Urgot,Nunu,Draven,Leona
Pantheon,Fizz,Shen,Ezreal,Vel'Koz
Jarvan IV,Annie,Dr. Mundo,Jynx,Morgana
Olaf,Syndra,Rammus,Graves,Thresh
Teemo,Syndra,Rammus,Kalista,Soraka
Lissandra,Xerath,Udyr,Quinn,Blitzcrank
Diana,Darius,Pantheon,Graves,Janna
Aatrox,Yasuo,Rek'Sai,Thresh,Vayne
Vladimir,Nidalee,Renga,Tristana,Nami
Dr. Mundo,Kayle,Shyvana,Miss Fortune,Morgana
Cho'Gath,Twisted Fate,Amumu,Corki,Sona
Kassadin,Orianna,Nocturne,Kalista,Braum
Darius,Ahri,Jarvan IV,Jynx,Thresh
Renekton,LeBlanc,Fiddlesticks,Jynx,Blitzcrank
Jarvan IV,Gragas,Irelia,Kog'Maw,Morgana
Garen,Tristana,Shaco,Jynx,Thresh
Gnar,Kennen,Master Yi,Sivir,Shen
Singed,Vel'Koz,Dr. Mundo,Graves,Leona
Sion,Veigar,Jarvan IV,Jynx,Soraka
Riven,LeBlanc,Udyr,Miss Fortune,Karma
Nasus,Yasuo,Diana,Draven,Nami
Malphite,Syndra,Vi,Caitlyn,Morgana
Fiora,Xerath,Wukong,Tristana,Brand
Nasus,Kassadin,Shaco,Twitch,Braum
Kayle,Zed,Vi,Caitlyn,Morgana
Annie,Syndra,Vi,Corki,Janna
Wukong,Yasuo,Shaco,Lucian,Thresh
Lee Sin,Zed,Amumu,Vayne,Sona
Gangplank,Twisted Fate,Shaco,Corki,Thresh
Irelia,Syndra,Vi,Graves,Janna
Caitlyn,Kassadin,Xin Zhao,Miss Fortune,Leona
Yasuo,Kennen,Wukong,Ezreal,Taric
Shyvana,Katarina,Rek'Sai,Jynx,Amumu
Gnar,Annie,Cho'Gath,Twitch,Leona
Darius,Twisted Fate,Shaco,Jynx,Janna
Yorick,Yasuo,Sejuani,Graves,Sona
Irelia,Lux,Lee Sin,Vayne,Thresh
